id_pair,tfidf_simil,genre_simil,age_simil,length_simil,collab_simil
"(1, 11)",0.01280975341796875,1.7041015625,1.3333333333333335,2.0,1.073974609375
"(1, 12)",0.00952911376953125,1.8671875,1.3333333333333335,1.0,1.05999755859375
"(1, 13)",0.012420654296875,1.767578125,2.0,2.0,1.07000732421875
"(1, 14)",0.008514404296875,1.6806640625,2.0,2.0,1.126953125
"(1, 15)",0.86181640625,2.0,2.0,2.0,1.51123046875
"(1, 16)",0.012115478515625,1.7109375,1.3333333333333335,2.0,1.22998046875
"(1, 17)",0.00910186767578125,1.6806640625,2.0,2.0,1.1309814453125
"(1, 18)",0.91162109375,2.0,2.0,2.0,1.4580078125
"(1, 19)",0.77685546875,1.7919921875,2.0,2.0,1.501953125
"(1, 20)",0.82568359375,0.0,2.0,1.0,1.45703125
"(1, 21)",0.016082763671875,1.705078125,2.0,2.0,1.07598876953125
"(1, 22)",0.74951171875,2.0,2.0,2.0,1.465087890625
"(1, 23)",0.018096923828125,1.8837890625,1.3333333333333335,2.0,1.06201171875
"(1, 24)",0.005859375,0.0,0.0,2.0,1.1090087890625
"(1, 25)",0.007289886474609375,1.435546875,2.0,2.0,1.08599853515625
"(1, 26)",0.0103912353515625,1.8837890625,1.3333333333333335,1.0,1.0360107421875
"(1, 27)",0.00733184814453125,1.5009765625,2.0,1.0,1.08099365234375
"(1, 28)",0.00921630859375,0.0,2.0,2.0,1.0139999389648438
"(1, 29)",0.01111602783203125,1.732421875,2.0,2.0,1.029998779296875
"(1, 30)",0.00885009765625,1.7138671875,2.0,1.0,1.177978515625
"(1, 31)",0.0382080078125,1.8837890625,1.3333333333333335,2.0,1.283935546875
"(1, 32)",0.01361083984375,1.3212890625,2.0,2.0,1.04400634765625
"(1, 33)",0.023529052734375,1.7919921875,2.0,1.0,1.2359619140625
"(1, 34)",0.0218353271484375,2.0,2.0,2.0,1.301025390625
"(1, 35)",0.0150909423828125,1.5185546875,0.6666666666666667,2.0,1.08001708984375
"(1, 36)",0.01522064208984375,1.7470703125,2.0,2.0,1.0789794921875
"(1, 37)",0.00687408447265625,1.8837890625,2.0,2.0,1.0120010375976562
"(1, 38)",0.0143280029296875,1.4130859375,2.0,2.0,1.0229949951171875
"(1, 39)",0.018218994140625,1.8837890625,1.3333333333333335,1.0,1.035003662109375
"(1, 40)",0.01099395751953125,1.435546875,2.0,2.0,1.0679931640625
"(1, 41)",0.01364898681640625,1.33203125,2.0,2.0,1.1700439453125
"(1, 42)",0.007427215576171875,1.548828125,2.0,1.0,1.08502197265625
"(1, 43)",0.02691650390625,1.7041015625,2.0,2.0,1.259033203125
"(1, 44)",0.00646209716796875,1.78515625,1.3333333333333335,2.0,1.10699462890625
"(1, 45)",0.0145111083984375,1.8837890625,1.3333333333333335,2.0,1.11700439453125
"(1, 46)",0.01024627685546875,1.2802734375,2.0,1.0,1.0780029296875
